Jahr;Import/Export;Maßeinheit;WZ;Kennzahl;Polymerart/Packmittel;Warenverzeichnis;Warennummer;Monat;relative Veränderung zum Vorjahr/Vorjahresmonat/Vorjahresquartal;Jahr-Monat
2023,0;Ausfuhr;Tsd. US $;2222;5511159,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-3,031706890074981;2023-TOTAL
2024,0;Ausfuhr;Tsd. US $;2222;5498886,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-0,22269362941624848;2024-TOTAL
2025,0;Ausfuhr;Tsd. US $;2222;5739176,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;4,369794172856101;2025-TOTAL
2015,0;Ausfuhr;t;2222;748745,9;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;;2015-TOTAL
2016,0;Ausfuhr;t;2222;802686,5;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;7,204126259656318;2016-TOTAL
2017,0;Ausfuhr;t;2222;1152968,8;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;43,63874314567393;2017-TOTAL
2018,0;Ausfuhr;t;2222;1186239,9;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;2,8856895347037836;2018-TOTAL
2019,0;Ausfuhr;t;2222;1154906,1;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-2,6414387174128806;2019-TOTAL
2020,0;Ausfuhr;t;2222;1117764,6;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-3,2159757403653844;2020-TOTAL
2021,0;Ausfuhr;t;2222;1175969,7;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;5,207277095731944;2021-TOTAL
2022,0;Ausfuhr;t;2222;1100184,9;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-6,444451757558046;2022-TOTAL
